song,artist
In Our Talons,Bowerbirds
Posters,Jack Johnson
Just Like You,Three Days Grace
Familiar Realm,CKY
Triumph,Wu-Tang Clan featuring CappaDonna
The Bleeding Heart Show,The New Pornographers
Momma\'s Boy,Chromeo
Roadside,Rise Against
As Good As I Once Was,Toby Keith
Sugar_ We\'re Goin Down,Fall Out Boy
Fortunate Son,Creedence Clearwater Revival
Alice Practise,Crystal Castles
Death Is The Road To Awe,Clint Mansell
Crazy For This Girl,Evan and Jaron
Hunting For Witches,Bloc Party
Don\'t Give Me Your Life,Alex Party
I Come In Please,Edward Sharpe & The Magnetic Zeros
Molfsee,Ulrich Schnauss
Baggy Trousers,Madness
Hey Ma,Cam\'Ron / Juelz Santana / Freekey Zeekey / Toya
Don\'t Say Nuthin\',The Roots
Two Trees,Mychael Danna & Jeff Danna
Take The Power Back,Rage Against The Machine
Calm Like A Bomb,Rage Against The Machine
Intermission (Album Version),Panic! At The Disco
Ego,Beyoncé
Harold T. Wilkins_ or How to Wait for a Very Long Time,Fanfarlo
P.I.M.P.,50 Cent
Victoria (LP Version),Old 97\'s
Transparent & Glasslike,Carpark North
Battle For The Sun,Placebo
Luv Me_ Luv Me,Shaggy / Samantha Cole
On a Neck_ On a Spit,Grizzly Bear
Dear John,Ryan Adams & The Cardinals
Do This Anymore (Album Version),Nickelback
Games,Jonas Brothers
Dear Catastrophe Waitress,Belle & Sebastian
Agua,Jarabe De Palo
Party Like A Rock Star,Shop Boyz
Panty Droppa [Intro] (Album Version),Trey Songz
I Kissed A Girl,Katy Perry
The Perfect Space,The Avett Brothers
The Pain,Murs
Hands Open,Snow Patrol
Circo Beat,Fito Paez
Skyscraper,Train
Scream For More,Kate Ryan
Cocoon,The Decemberists
Mother Knows Best,Crystal Castles
Clear,Cybertron
Call Me When You Get This,Corinne Bailey Rae
Quiero Verte Sonreir,Carlos Vives
Flat Beat,Mr. Oizo
Kids Of The Future,Jonas Brothers
Hot N Cold (Manhattan Clique Remix Radio Edit),Katy Perry
Sly,Massive Attack
Last Exit,Pearl Jam
It\'s Not Ok (Album),Zac Brown Band
Let It Whip,Dazz Band
Maybe,Second Hand Serenade
Sister Seagull,Be Bop Deluxe
Stand Here With Me,Creed
When I Get Where I\'m Going,Brad Paisley;Dolly Parton
One Step Closer (Album Version),Linkin Park
Team,Bon Iver
Hellbound,J-Black & Masta Ace
Giving Up The Gun,Vampire Weekend
City On Our Knees,tobyMac
The Beat Is Rockin (Original Mix),Ericke
Naturally,Selena Gomez & The Scene
Top Down,Swizz Beatz
Lump,The Presidents of the United States of America
Old Soul Song,Bright Eyes
Heysátan,Sigur Rós
Sometimes In The Fall,Phoenix
Annie (Album Version),James Blunt
Breakfast At Tiffany\'s,Deep Blue Something
This Joint,Slightly Stoopid
Remember (Walking In The Sand),The Shangri-Las
Mr Bojangles,Robbie Williams
Better That We Break,Maroon 5
Let My Love Open The Door (Underdog Album Version),Audio Adrenaline
Restless,Alison Krauss / Union Station
Me And My Friends (2003 Digital Remaster),Red Hot Chili Peppers
Empathy,Crystal Castles
You Can\'t Call Yourself A Secret,Eagle Seagull
The Lighthouse,Interpol
In God\'s Country,U2
All Of This,Blink-182
Too Long (Gonzales Version),Daft Punk
Rockin\' Rollin\' Stone,Andy Starr
Delicate,Damien Rice
El duelo,La Ley
She\'s Good For You,Deana Carter
Officially Missing You (Radio Version),Tamia
Ring The Alarm,Beyoncé
Kiss Me_ Diss Me,Home Grown
Walk-Don\'t Run,The Ventures
I\'ll Be Lovin\' U Long Time,Mariah Carey
Planet Caravan (Remastered LP Version),Pantera
Space Cowboy,Banaroo
Sweet About Me,Gabriella Cilmi
Good Soldier,Flobots
Carolina,Eric Church
Summer Smoke,Girl Talk
Your Ex-Lover Is Dead (Album Version),Stars
Just Friends,Amy Winehouse
Dead On Arrival (Album Version),Fall Out Boy
Citizen/Soldier,3 Doors Down
Interstate 8,Modest Mouse
Dead & Bloated (LP Version),Stone Temple Pilots
Mother In-Law,Ernie K-Doe
She Looks To Me (Album Version),Red Hot Chili Peppers
He Wasn\'t Man Enough,Toni Braxton
The Well And The Lighthouse,Arcade Fire
Man In The Box,Alice In Chains
Da Funk (Radio Edit),Daft Punk
No Way Jose,Baby Bash / Akon
Homesick,A Day To Remember
Let U Go,ATB
Canada,Five Iron Frenzy
A Summer Song,Chad & Jeremy
Human Behaviour,Björk
Showoff,Kid Dynamite
Deepest Blue,Deepest Blue
Where Eagles Dare,The Misfits
Also Frightened,Animal Collective
Nervous Breakdown,Rise Against
Dear God,XTC
Give It Back,Polly Paulusma
Disco Heaven,Lady GaGa
The Pyramids,Tim Wilson
Blind,Hercules & Love Affair
Photographs,Rihanna / will.i.am
Know-How,Kings Of Convenience Featuring Feist
Been Caught Stealing ( LP Version ),Jane\'s Addiction
Everything\'s Right,Matt Wertz
The Least You Can Do,Phil Collins
Soul Survivor,Young Jeezy / Akon
Tsubasa,M83
Yet Another Day,Armin van Buuren
Feelings Show,Colbie Caillat
Ever Dream,Nightwish
Bastards on Parade,Dropkick Murphys
You Told A Lie,Camera Obscura
Asche Zu Asche,Rammstein
Pump It,Black Eyed Peas
This Cowboy Song,Sting
The Fight Song,Marilyn Manson
Hollywood Whore,Papa Roach
Cherry Blossom Girl (Fanny Demo Version),Air
Trátame Suavemente,Soda Stereo
Got Nuffin\',Spoon
You Are Not Stubborn,Two Door Cinema Club
What\'s My Name,DMX
Meadowlarks,Fleet Foxes
Oceanside,Angels Of Light & Akron/Family
Home Is Where The Heart Is,Public Image Ltd
Be With You,Beyoncé
Blood Bank,Bon Iver
Life Ain\'t Always Beautiful,Gary Allan
Wake Up And Smell The Coffee,The Cranberries
I\'m Real,Jennifer Lopez featuring Ja Rule
All In Forms,Bonobo
The Stroke,Billy Squier
Cute Without The E (cut From The Team) (Album Version),Taking Back Sunday
Shine On,The Kooks
Ay Mama,Devendra Banhart
Forgive Me,Leona Lewis
Hasta La Vista,Jordan Francis/Roshon Bernard Fegan
A Lo Cubano,Orishas
Three Blind Mice,Ten Years After
Too Late For Goodbyes,Julian Lennon
Leaning Against The Wall,Kings Of Convenience
Ocean Avenue,Yellowcard
In The Cold I\'m Standing,M83
King & Queen,Mary J. Blige / John Legend
Epona,Enya
I Put A Spell On You,Marilyn Manson
This Ain\'t A Scene_ It\'s An Arms Race,Fall Out Boy
Six-Pack Summer,Phil Vassar
Pepper,Butthole Surfers
It\'s Five O\' Clock Somewhere,Alan Jackson
Jailbird,M Ward
Take A Minute,K\'Naan
Rorol,Octopus Project
Why Can\'t We Be Friends,Smash Mouth
Daylight,Coldplay
Dreaming Of You,Selena
Come To Me,Björk
White Room,Cream
Collecting Skylines,Swearing At Motorists
#!*@ You Tonight [Featuring R. Kelly] (Explicit Album Version),The Notorious B.I.G.
Old Yellow Bricks,Arctic Monkeys
The Impossible,Mariah Carey
Rememo,Kings Of Leon
Groovy Times,The Clash
That\'s How You Like It,Beyoncé feat. Jay-Z
Don\'t Let The Sun Go Down On Me,George Michael;George Michael Duet with Elton John
Val\'s Blues (Digitally Remastered),Louis Smith
Invincible,Ok Go
The Reeling,Passion Pit
Summertime Clothes,Animal Collective
Guerrilla Monsoon Rap,Talib Kweli / Pharoahe Monch / Black Thought
Heart,Stars
I Hate This Part,The Pussycat Dolls
Weenie Beenie,Foo Fighters
Hey,Pixies
My All,Mariah
We Are Going To Be Friends (Live),The White Stripes
Home,Three Days Grace
Breadfan,Metallica
Heavyweight,Infected Mushroom
Dead Souls [Re-mastered],Joy Division
Brompton Cocktail (Album Version),Avenged Sevenfold
Buttons,The Pussycat Dolls
Black Refuge,Junip
Let It Die,Feist
Fantasy,The xx
All We Are,Matt Nathanson
A Little\'s Enough,Angels and Airwaves
Push It,Salt-N-Pepa
What\'s Not To Like,Hannah Montana
Faust Arp,Radiohead
Daft Punk Is Playing At My House,LCD Soundsystem
If There\'s a Rocket Tie Me To It,Snow Patrol
Born In The 50\'s,The Police
The State Of Massachusetts,The Dropkick Murphys
I\'m With You,Avril Lavigne
Dinosaur,Ke$ha
Buttons,Sia
Stop Draggin\' My Heart Around,Stevie Nicks / Tom Petty And The Heartbreakers
Freedom,Akon
Sad Songs (Say So Much),Elton John
Si Te Vas,Marc Anthony
Broken Hearts,Kiss Kiss Kiss
The Nurse Who Loved Me,A Perfect Circle
Different (album version),Pendulum
We Both Go Down together,The Decemberists
La Niña,Mala Rodriguez
Almost Lover (Album Version),A Fine Frenzy
I Do,Weezer
Got Some,Pearl Jam
How It Ends (Album version),Devotchka
The Way I Was,Maroon 5
Charade,Skids
Your Picture,Camera Obscura
Sway,The Pussycat Dolls
A Message To You Rudy,The Specials
Transparency,White Denim
Chelsea Burns (Live In Reykjavik 2008),Lady & Bird
The Real Slim Shady,Eminem
Sinisten tähtien alla,J. Karjalainen & Mustat Lasit
I Was A Teenage Anarchist (Album Version),Against Me!
Santana DVX,The Lonely Island / E-40
Banquet (Phones Disco Edit),Bloc Party
Robot Soul (Radio Edit),Cosmo Vitelli
Destroy Everything You Touch,Ladytron
En Algun Lugar,Duncan Dhu
Whataya Want From Me,Adam Lambert
(I Can\'t Get Me No) Satisfaction,Devo
Rio,Duran Duran
Bark At The Moon,Ozzy Osbourne
Duality (Album Version),Slipknot
I\'m Not Your Toy,La Roux
Once Upon A December (LP Version),Liz Callaway
Red River Rock,Johnny & the Hurricanes
All That She Wants (Banghra Version),Ace of Base
Live It Up,Willy Mason
As I Rise,The Decemberists
September,Ryan Adams & The Cardinals
Tessie,Dropkick Murphys
Blue Mind,Alexi Murdoch
Shelter Me,Train
Wrestlers,Hot Chip
Little River,harvey summers
Goliath,The Mars Volta
Spirits In The Material World,The Police
Back At One,Brian McKnight
Marciano (I Turned Into A Martian),Molotov
Monster,Lady GaGa
The Caterpillar,The Cure
Hello_ Brooklyn,All Time Low
Air Force Ones,Nelly / David Banner / 8-Ball
Hate My Life [Explicit],Theory Of A Deadman
Keep It Loose_ Keep It Tight,Amos Lee
California Waiting,Kings Of Leon
Hysteric,Yeah Yeah Yeahs
Rain On Your Parade,Duffy
The Way She Moves,Forever The Sickest Kids
Thousand Ways,The Tallest Man On Earth
Impossible Germany,Wilco
Wasteland,10 Years
One Headlight,The Wallflowers
An Ocean Between Us,As I Lay Dying
Soldier,Destiny\'s Child featuring T.I. and Lil Wayne
Carol,Spook And The Guay
Warning Sign,Coldplay
High Speed,Coldplay
Época,Gotan Project
Me & Mrs. You,Michael Bublé
Red Right Ankle,The Decemberists
The Good Old Days,The Libertines
Webers,Caribou (formerly Dan Snaith\'s Manitoba)
Introduction To Falling (Fragment),Palm Skin Productions
Stay,Lisa Loeb & Nine Stories
Homecoming,Kanye West
I Hate Myself For Loving You,Joan Jett & The Blackhearts
Encore Break,Pearl Jam
Boom (2006 Remastered Album Version),P.O.D.
Gears,Future Rock
M79 (Album),Vampire Weekend
How Am I Doin\' (w/o  intro or outro),Dierks Bentley
If You Were A Sailboat,Katie Melua
The Lengths,The Black Keys
City Love,John Mayer
Underwater World,ATB
Jolene,Cake
Shadow On The Sun,Audioslave
No Envy No Fear,Joshua Radin
Many Moons (EP Version),Janelle Monae
Punch You In The Jeans,The Lonely Island
Stillborn (Album Version),Black Label Society
Entertain,Sleater-kinney
Everything In Its Right Place,Radiohead
You Are So Beautiful,Escape The Fate
Aguas De Marco,João Gilberto
Recess,Muse
She Moves In Her Own Way,The Kooks
Beautiful Friday,Andru Donalds
You Never Know,Immortal Technique
I Stand Corrected (Album),Vampire Weekend
Foundations,Kate Nash
Dingue_ Dingue_ Dingue,Christophe Maé
I\'m Me,Lil Wayne
Succubus,Five Finger Death Punch
Shine Shine,Boys Noize
Smile (Radio Edit),Lily Allen
Asleep On A Sunbeam,Belle & Sebastian
Up Where We Belong,Joe Cocker / Jennifer Warnes
Substitute,Clout
The Go Getter,The Black Keys
Me & U,Cassie Feat. Diddy & Yung Joc
Airwar,Crystal Castles
You,Radiohead
Mein Herz (Live),Mediengruppe Telekommander
Stripper Vicar,Mansun
The Planets Bend Between Us,Snow Patrol
Divine Hammer,The Breeders
Pro Lover,Usher
Rainbow,Colbie Caillat
Anthems For a Seventeen Year-Old Girl,Broken Social Scene
Falling In,Lifehouse
Didn\'t I,Petey Pablo
Plastic People,Four Tet
Ten Cent Pistol,The Black Keys
Lift Your Head Up High (And Blow Your Brains Out),Bloodhound Gang
Schifrin and Variations,Michael Giacchino
Que Lloro,Sin Bandera
Temperature (Album Version),Sean Paul
Given Up (Album Version),Linkin Park
Fiery Crash,Andrew Bird
Cats In The Cradle,Ugly Kid Joe
Ditto (Album Version),Cassie
Poison Oak (Album Version),Bright Eyes
You\'re So Damn Hot,Ok Go
I Feel Just Like a Child,Devendra Banhart
Burden of Tomorrow,The Tallest Man On Earth
My Heart Is An Open Book,Carl Dobkins_ Jr.
The Sadness Will Never End (Album Version),Bring Me The Horizon
CIEÑ,Milczenie Owiec
Point And Shoot (Explicit Album Version),Pepper
So Says I,The Shins
Désolé,Sexion d\'Assaut
Jam 292,Jimi Hendrix
Let\'s Get Out Of This Country,Camera Obscura
Give A Little Bit,Supertramp
The Storm Is Over Now,Gods Property
Final Path,Yeasayer
Sad Lisa,Cat Stevens
Your Rocky Spine,Great Lake Swimmers
Such A Lovely Thing (Album version),Devotchka
What\'s Up?,4 Non Blondes
Mahna_ Mahna,Cake
Ceremony,New Order
You Really Got Me (Album Version),Van Halen
Kryptonite,3 Doors Down
Suspicious Minds,Elvis Presley
Cold December,Matt Costa
Natalie\'s Rap,The Lonely Island / Natalie Portman / Chris Parnell
Whenever I Say Your Name,Sting / Mary J. Blige
L\'Esperanza,Airscape
Video Killed The Radio Star,The Presidents of the United States of America
I\'m So Excited,The Pointer Sisters
Dreams-Come-True-Girl,Cass McCombs feat. Karen Black
Mirando,Ratatat
Sea Green_ See Blue,JayMay
Stop (2006 Remastered Album Version),Jane\'s Addiction
Baby Boy [feat. Beyonce],Sean Paul
Promise Me,Beverley Craven
Time to Go,Dropkick Murphys
Santa Monica,Theory Of A Deadman
Addams Groove,MC Hammer
Contagious,The Isley Brothers
How It Feels To Fly,Alicia Keys
Age Of Consent,New Order
Stormtrooper (LP Version),Pepper
Fall Line,Jack Johnson
Atrevido,Orishas
Him,Lily Allen
Don\'t Look Back,Boston
Mr Blue Sky,Electric Light Orchestra
L.A.,Elliott Smith
Rescue Me,Fontella Bass
Fire Woman,The Cult
Down Home Girl,Old Crow Medicine Show
Sleeping Beauty,A Perfect Circle
Carries On,Edward Sharpe & The Magnetic Zeros
Lotus,Cage The Elephant
Reversing,Four Tet
Warning,Incubus
Be Good Or Be Gone,Fionn Regan
I\'m Part Of You,Poverty Stinks
Por quererte,Efecto Mariposa
Entre Dos Aguas,Paco De Lucia
My Place,Nelly / Jaheim
Somebody To Love,Justin Bieber
Wish I Stayed,Ellie Goulding
Dollhouse,Switchblade Symphony
Malibu,Hole
I Love You Always,Travis
Say Goodbye (Album Version),Skillet
Butterfly Fly Away,Miley Cyrus/Billy Ray Cyrus
Sure Shot,Beastie Boys
Droplets,Colbie Caillat / Jason Reeves
Mr Blue,Yazoo
Soul Of A Vagabond,STRATOVARIUS
You Never Miss The Water Until The Well Runs Dry,Lindisfarne
Baila Esta Cumbia,Selena
Strawberry Swing,Coldplay
I Need To Know,Marc Anthony
Die MF Die,Dope
Shiver,Maroon 5
Love/Hate,Iration
Switch,Will Smith
Punchdrunk Lovesick Singalong,Radiohead
Take Me Out,Franz Ferdinand
Ready For Love,India.Arie
Viva La White Girl (Album Version),Gym Class Heroes
Only Happy When It Rains,Garbage
My Love,Lionel Richie
She Blinded Me With Science,Thomas Dolby
Change Is Hard,She & Him
Groove Me,King Floyd
Mirror Song,Live
Word Up,Cameo
You\'d Be So Nice To Come Home To,Julie London
Everything Flows,Teenage Fanclub
I Am A Man Of Constant Sorrow,The Soggy Bottom Boys
These Days,The Black Keys
Don\'t Let Go (Love),En Vogue
Where Is My Mind?,Pixies
Girls Just Wanna Have Fun,Miley Cyrus
Making Money Off God feat. Bus Driver,2Mex
I Got Nerve (Karaoke),Aruna Abrams/Ken Hauptman/Jeannie Lurie
Rock \'N\' Roll High School (Album Version),Ramones
Unravel,Björk
From The Ritz To The Rubble,Arctic Monkeys
Futurism,Muse
Dead Man (Carry Me),Jars Of Clay
El Chico Del Apartamento 512,Selena
Magic,The Pussycat Dolls
My Immortal (Album Version),Evanescence
You Used To Hold Me,Calvin Harris
You And Me (Wedding Version),Lifehouse
What Your Soul Sings,Massive Attack
The Stranger Song,Leonard Cohen
Blue In Green,Miles Davis
Life Burns!,Apocalyptica
Walkabout,Blue States
Hang On To Your Love,Sade
Father Cannot Yell (Pete Shelley/Black Radio Mix),Can
Never Met The Gooch,Kid Dynamite
Taxi Cab,Vampire Weekend
Na Vi,Dino Merlin
Constellations,Jack Johnson
Black Cloud,Crazy Town
Enter Sandman,Metallica
Mammoth,Interpol
Ageless beauty,Stars
Shortly Before The End,Ok Go
Empire State Of Mind (Part II) Broken Down,Alicia Keys
Wet Blanket,Metric
All My Loving,Jim Sturgess
From Out Of Nowhere,Faith No More
Reign Of The Tyrants,Jag Panzer
Kiss Me,New Found Glory
Fear,Benjy Ferree
Express Yourself (2002 Digital Remaster),N.W.A.
& Down,Boys Noize
Learning To Fall,Boys Like Girls
Come Home,OneRepublic
Carmensita,Devendra Banhart
Ain\'t Got A Lot of Money,Slightly Stoopid
Another Town,Regina Spektor
Mr Sandman,The Chordettes
Hints,José González
Come Back To Bed,John Mayer
"White & Nerdy (Parody of ""Ridin\'"" by Chamillionaire featuring Krayzie Bone)","Weird Al"" Yankovic"
Magia Veneno,Catupecu Machu
Caught In A Mosh,Anthrax
Requiem,Trivium
Lacrymosa,Evanescence
Faster [Explicit Version],Third Eye Blind
Epilogue,Asia 2001
Bullets,Creed
A Day Without Me,U2
Mr. Jones (Explicit Version),Mike Jones
Stream,Moby
Anything But Ordinary,Avril Lavigne
I Will Buy You A New Life,Everclear
The Howling,Within Temptation
ROCKSTAR 101,Rihanna / Slash
Taja\'s Lude (Interlude),Blackstreet
Casting A Spell (Remixed) (1998 Digital Remaster),Robert Palmer
NJ Legion Iced Tea,A Day To Remember
Thank U (Album Version),Alanis Morissette
Combat Rock,Sleater-kinney
Secret Door,Arctic Monkeys
BirdFlu,M.I.A.
Everyday Struggle (Album Version),The Notorious B.I.G.
There Must Be A Better World Somewhere,B.B. King
Artifacts of the black rain,In Flames
The Quest,HYPOCRISY
Good Man,Josh Ritter
Half Of My Heart,John Mayer
The Last Resort  (LP Version),Eagles
I Can Love You Like That (Remastered Version),John Michael Montgomery
Many Of Horror,Biffy Clyro
The Sound of Settling (Album Version),Death Cab for Cutie
Entertainment,Rise Against
Be Kind,Devendra Banhart
Get Your Number,Mariah Carey / Jermaine Dupri
Fast Car (LP Version),Tracy Chapman
Made Of Scars (Album Version),Stone Sour
Electric Feel,MGMT
Chunga\'s Revenge,Gotan Project
Love Can Damage Your Health,Telepopmusik
Kiss Me_ I\'m Sh*tfaced,Dropkick Murphys
Composure,August Burns Red
Hidden Agenda,Craig David
A Life Worth Living,Aereogramme
Gypsy Woman (She\'s Homeless),Crystal Waters
Till You Return To Me,GROVER WASHINGTON_ JR.
Change Clothes,Jay-Z
Do You Remember The First Time?,Pulp
Dance_ Dance,Fall Out Boy
Not Good Enough For Truth In Cliche\',Escape The Fate
Phantom Lord,Metallica
Jackie,The New Pornographers
42,Coldplay
Legacy Of Kings,HAMMERFALL
Never Gonna Let You Go,Sergio Mendes
Triumphant,Röyksopp
Alejate De Mi,Camila
Hey Girl,Dashboard Confessional
Reckless Life,Guns N\' Roses
Until The End Of Time,Justin Timberlake duet with Beyonce
Red Socks Pugie,Foals
My Wandering Days Are Over,Belle and Sebastian
Love Is Here,Tenth Avenue North
Premonicion,Gazpacho
Satisfaction,Benny Benassi Presents The Biz
A Cura,Lulu  Santos
No More Mosquitoes,Four Tet
En resa,Cornelis Vreeswijk
Who By Fire,Leonard Cohen
Phantom Limb (Album),The Shins
Global Warning,Steel Pulse
I\'ll Do Anything (LP Version),Jason Mraz
Almost Easy (Album Version),Avenged Sevenfold
Ordinary,Train
The Special Two (Album Version),Missy Higgins
What\'s My Name Featuring Noah,Chris Brown
We Change_ We Wait,The Maine
You & Me Song,The Wannadies
Fire Up Ahead,The Trews
Blinded [When I See You],Third Eye Blind
Three Peaches,Neutral Milk Hotel
Electricity,Moby
Walk Away,Kelly Clarkson
Release Me,Agnes
I\'ll Call Ya,Chris Brown
All Along The Watchtower,DAVE MATTHEWS BAND
Rusted Wheel,Silversun Pickups
Christmas Time Is Here,Shawn Colvin
Freakum Dress,Beyoncé
Just Like You (Karaoke),Andy Dodd & Adam Watts
Wind It Up,Gwen Stefani
Brain (Edited),N.E.R.D.
The Truth (Sick Of It All Cover Version),Bleeding Through
Sweet Jane,The Velvet Underground
Stray Cat Strut,The Stray Cats
Life On Mars?,Seu Jorge
Galang,M.I.A.
When You\'re Gone,Avril Lavigne
Kiss Of Life,Sade
Space Lord,Monster Magnet
Montanita,Ratatat
The Resistance,Anberlin
Point/Counterpoint (Album Version),Streetlight Manifesto
Start Shootin\',Little People
You\'re The One,The Black Keys
Big Me,Foo Fighters
Lose Control,Evanescence
The Canals Of Our City,Beirut
Lola soledad,Alejandro Sanz
Big Lost,Diplo
Out Ta Get Me,Guns N\' Roses
Move,CSS
Too Much,All Time Low
God Save The Queen,Sex Pistols
Moonshine,Jack Johnson
Narcotic (Long Version),Liquido
Songs Of The Season,Soltero
Let My Love Open The Door,Pete Townshend
Everything Is,Neutral Milk Hotel
La Carcacha,Selena
Alpha Beta Gaga,Air
Scythian Empires,Andrew Bird
Intoxication (Album Version),Disturbed
Lounge Fly (LP Version),Stone Temple Pilots
Fortunate Fool,Jack Johnson
Deadweight On Velveteen,José González
Times,Tenth Avenue North
The Power of Love,Frankie Goes To Hollywood
Perfidia,The Ventures
Corrido de Boxeo,Ry Cooder
This Is Nowhere,The Airborne Toxic Event
Manhattan,Kings Of Leon
Crockett\'s Theme,Jan Hammer
The Trooper (1998 Digital Remaster),Iron Maiden
Money In The Bank [Feat. Young Buck] (Main Version),Lil Scrappy
She\'s Got You High,Mumm-Ra
Break My Body,Pixies
Other Towns And Cities,Camera Obscura
Breakdown (Album Version),Tom Petty And The Heartbreakers
Who Am I,Timbaland & Magoo
Colgando en tus manos (con Marta Sanchez),Carlos Baute
All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross),DJ Khaled
Technologic (Peaches No Logic Remix),Daft Punk
The First Drop,Rise Against
Lullaby,Jack Johnson / Matt Costa
If You\'re Gone (Remastered Version),matchbox twenty
Let\'s Fall In Love,Diana Krall
Why Can\'t I? (Explicit),Liz Phair
Innocent When You Dream (78),Tom Waits
No One Knows,Queens Of The Stone Age
Play On,Carrie Underwood
Wandering Eye,Fat Freddy\'s Drop
The Arms of Sorrow (Album Version),Killswitch Engage
Forks And Knives (La Fête),Beirut
Shh,Frou Frou
Destiny,Zero 7
What\'s Been Going On,Amos Lee
Better Together,Jack Johnson
Underground,1001
Baby It\'s You,JoJo / Lil\' Bow Wow
Bling (Confession Of A King),The Killers
Pain,Hollywood Undead
The Devil\'s Been Busy (2007 Remastered LP Version),Traveling Wilburys
Baby Let Me Take You Home,The Animals
Superman\'s Dead,Our Lady Peace
Long Nights,Eddie Vedder
Storms In Africa,Enya
I Wish Today Could Be Tomorrow,Jim Lauderdale/Ralph Stanley & The Clinch Mountain Boys
Across The Universe,Jim Sturgess
Don\'t You Forget It,Glenn Lewis
Complications,Deadmau5
I Don\'t Wanna Know (Featuring Enya And P. Diddy) (Amended Version),Mario Winans
Mama Said Knock You Out,LL Cool J
Para No Olvidar,Los Rodriguez
Congratulations_ I Hate You,Alesana
I Still Haven\'t Found What I\'m Looking For,U2
Dickhead,Kate Nash
Slam,Onyx
Redneck,Lamb Of God
Lower Your Eyelids To Die With The Sun,M83
The Modern Age,The Strokes
Tokyo Drift,Teriyaki Boyz
Another Time Another Place,U2
Someone Great,LCD Soundsystem
Head Over Heels,Tears For Fears
LOL :-) [feat. Gucci Mane & Soulja Boy Tell \'Em] (Album Version),Trey Songz
Kalopsia,The Blizzard
Always Love (Album Version),Nada Surf
It Just Is (Album Version),Rilo Kiley
Deja Vu,Beyoncé feat. Jay-Z
I See You [Theme from Avatar] (Album Version),Leona Lewis
Y Hubo Alguien,Marc Anthony
Your Touch,The Black Keys
Like You\'ll Never See Me Again,Alicia Keys
Lloyd_ I\'m Ready To Be Heartbroken,Camera Obscura
She\'s Got Me Dancing,Tommy Sparks
I\'m the man who loves you,Wilco
Eminence Front,The Who
Fuck You,Dr. Dre / Devin a/k/a The Dude / Snoop Dogg
Naive,The Kooks
Here It Comes,Modest Mouse
Who Wants To Live Forever (With Commentary),Queen
Cancer,Sick Puppies
Someone To Save You,OneRepublic
O Death,Ralph Stanley
TE QUIERO PUTA!,Rammstein
Lowrider,Cypress Hill
Black Bird,Evan Rachel Wood
Kiss Kiss,Chris Brown featuring T-Pain
Cemetary Gates (LP Version),Pantera
Anoche Soñé Contigo,Kevin Johansen
I\'ve Got You Under My Skin (Album Version),Michael Bublé
Lonely List,Alizée
You\'ll Never Know (My Love) (Bovellian 07 Mix),Edwyn Collins
Broken Face,Pixies
Hazey Jane II,Nick Drake
High,Lighthouse Family
Not For You,Pearl Jam
Monkey Man,Amy Winehouse
The Execution Of All Things (Single Version),Rilo Kiley
Goodbye For Now (Album Version),P.O.D.
Hay Un Son,Orishas
Shake A Fist,Hot Chip
Mushrooms,Noosa Head Feat. Marshall Jefferson
Let It Be Sung,Jack Johnson / Matt Costa / Zach Gill / Dan Lebowitz / Steve Adams
Waiting,Dash Berlin
Long Arm Of The Law,Looptroop
Memories,Waldeck
Over And Out,Foo Fighters
Down,Chris Brown featuring Kanye West
Prófugos,Soda Stereo
Dangerous,Ying Yang Twins ft. Wyclef Jean
Rush,Rihanna / Kardinal Offishall
Not Exactly,Deadmau5
Spectre,Non
San Simeon,Goldfinger
Many Ghosts,Akron/Family
Leslie Anne Levine,The Decemberists
S Club Party,S Club 7
Faxing Berlin,Deadmau5
Someone To Call My Lover (So So Def Remix),Janet Jackson
Homeward Bound,Simon & Garfunkel
Future Says Run,Tonic
The Final Episode (Let\'s Change The Channel),Asking Alexandria
Spooky,Dusty Springfield
Castle On A Cloud,Les Misérables - 10th Anniversary Concert
Beach Party,Hot Chip
Strangers In The Wind,Cut Copy
Eli_ The Barrow Boy,The Decemberists
Me And Mrs. Jones (Album Version),Michael Bublé
Closer,Kings Of Leon
Vivo Por Ella (Vivo Per Lei),Andrea Bocelli / Marta Sanchez
Bottle Pop,The Pussycat Dolls / Snoop Dogg
What You Got,Colby O\'Donis / Akon
Ready_ Steady_ Go (Album Version),Paul Oakenfold
Crossroads,Cream
Love Of My Life (1993 Digital Remaster),Queen
Billy Liar,The Decemberists
No Fit State,Hot Chip
O New England,The Decemberists
Ooh La,The Kooks
In and Out of Love,Armin van Buuren
All That We Perceive,Thievery Corporation
Push The Eagle\'s Stomach,Man Man
PS Don\'t Write,Pencey Prep
Lost In The Plot,The Dears
Holdin\' On To You,Brad Paisley
A Dios Le Pido,Juanes
My Curse (Album Version),Killswitch Engage
Maniac,Michael Sembello
Breakdown (Album Version),Tantric
Cuts Like A Knife,Bryan Adams
Vincent,Don McLean
Tailgunner (1998 Digital Remaster),Iron Maiden
Song For Dan Treacy,MGMT
Blue Christmas,Chris Isaak
Wake For Young Souls,Third Eye Blind
Rock \'n\' Roll Lifestyle,Cake
Rehab,Rihanna
No Love,Roots Manuva
